Score,country,User's lifetime number of transactions,User's language,User is referred? (1=True/0=False),Seconds between user's first booking date and created_at,User's address_status_id,USer's identity_status_id,User's lifetime number of referrals
9,3,3,1,0,1239,1,3,0
9,3,3,1,1,297,3,3,1
9,3,3,3,0,385638,1,3,0
9,3,3,1,0,3486403,3,3,0
9,3,3,1,0,194560,1,3,1
9,3,3,3,1,813,1,3,0
9,3,3,1,0,1451281,1,3,1
9,3,3,1,0,2050,3,3,0
9,3,3,3,0,960,1,3,0
9,3,3,1,0,1229,1,3,0
9,3,3,3,1,370,1,3,0
9,3,3,2,0,1271,1,3,1
9,3,3,1,0,3267,1,3,0
9,3,3,1,1,2113,1,3,0
9,3,3,4,0,576,3,3,0
9,3,3,2,0,513,3,3,0
9,3,3,3,0,1221,3,3,0
9,3,3,1,0,1160,1,3,0
9,3,3,3,0,297,1,3,0
10,3,3,1,0,72064,1,3,0
10,3,3,1,0,17638279,1,3,0
10,3,3,3,1,375,3,3,0
10,3,3,1,0,7942998,3,3,1
10,3,3,2,0,14105,1,3,0
10,3,3,1,0,7650409,1,3,0
10,3,3,1,1,2112,1,2,1
10,3,3,2,1,992340,1,3,0
10,3,3,2,0,1950,3,3,0
10,3,3,1,1,371,3,3,1
10,3,3,3,0,502,1,3,13
10,3,3,1,0,556,3,3,0
10,3,3,2,0,65409,1,3,0
10,3,3,3,0,1237,1,3,1
10,3,3,3,1,316,1,3,0
10,3,3,1,0,272,3,3,0
10,3,3,1,0,633,1,3,0
10,3,3,1,1,382,3,3,0
10,3,3,4,1,2083,3,3,0
10,3,3,1,0,367334,3,3,0
10,3,3,4,0,7394,1,3,0
10,3,3,2,0,349,1,3,0
10,3,3,4,0,2580916,1,3,0
10,3,3,1,0,1290208,3,3,1
10,3,3,2,0,2316429,3,3,0
10,3,3,1,0,309,1,3,0
10,3,3,4,0,1217,1,3,8
10,3,3,1,0,388,3,3,0
10,3,3,1,0,902,1,3,0
10,3,3,4,0,794,1,3,1
10,3,3,3,1,8037061,3,3,0
10,3,3,4,1,429,1,3,0
10,3,3,4,0,9239145,1,2,0
10,3,3,3,0,247529,3,3,0
10,3,3,3,0,553,3,3,0
10,3,3,1,1,2688422,1,3,2
10,3,3,4,0,1419,2,3,0
10,3,3,1,0,461,3,3,0
10,3,3,1,1,1867,3,3,0
10,3,3,2,0,30497061,1,3,0
10,3,3,4,0,1373,3,3,0
10,3,3,3,0,53390317,3,3,1
10,3,3,2,0,450,1,3,0
10,3,3,4,0,67033,1,3,1
10,3,3,2,0,28851242,3,3,0
10,3,3,2,0,7814025,3,3,0
10,3,3,2,0,32487795,1,3,1
10,3,3,1,0,1818,1,3,0
10,3,3,3,0,14906,1,3,1
10,3,3,2,0,1888212,3,3,2
10,3,3,1,0,4142173,3,3,0
10,3,3,1,1,512,1,3,0
10,3,3,1,0,905,3,3,0
10,3,3,1,0,174400,3,3,0
10,3,3,2,1,18052870,1,3,0
10,3,3,1,0,42278,3,3,1
10,3,3,1,0,2513293,3,3,0
10,3,3,3,0,323435,3,3,0
10,3,3,4,1,18141605,1,3,0
10,3,3,2,0,18163,3,3,0
10,3,3,1,1,6482835,1,3,0
10,3,3,2,0,4847691,1,3,0
10,3,3,3,0,598,1,3,1
10,3,3,1,0,487,1,3,1
10,3,3,4,1,957,1,3,0
10,3,3,3,1,946,1,3,0
10,3,3,2,1,1455,3,3,1
10,3,3,2,1,423,1,3,0
10,3,3,2,1,11469,1,3,0
10,3,3,5,0,1940,1,3,0
10,3,3,1,0,1288,3,3,1
10,3,3,3,0,15673807,3,3,0
10,3,3,1,1,33422,1,3,0
10,3,3,1,0,344636,1,3,0
10,3,3,3,0,1895,1,3,1
10,3,3,2,0,1986573,1,3,0
10,3,3,4,0,437,3,3,0
10,3,3,4,0,26058112,3,3,0
10,3,3,2,0,343,1,3,0
10,3,3,1,0,177,1,3,0
10,3,3,3,1,456,1,3,0
10,3,3,2,0,1750,1,3,0
10,3,3,1,0,184594,3,3,0
10,3,3,1,0,7849883,3,3,0
10,3,3,2,0,1720,3,3,0
10,3,3,1,0,683,3,3,0
10,3,3,4,0,3408,1,3,0
10,3,3,3,1,788,1,3,2
10,3,3,3,0,384,2,3,0
10,3,3,3,1,151307,3,3,0
10,3,3,3,0,2579878,1,3,0
10,3,3,2,0,9448,3,3,0
10,3,3,2,0,1003,1,3,0
10,3,3,2,1,1201503,3,3,1
10,3,3,2,0,286,3,3,1
10,3,3,3,0,2121622,1,3,0
10,3,3,3,1,242399,1,3,0
10,3,3,1,0,385952,3,3,0
10,3,3,3,0,1301,3,3,0
10,3,3,3,0,669,1,3,0
10,3,3,1,0,3369065,1,3,0
10,3,3,3,0,523,1,3,0
10,3,3,4,0,299431,1,3,0
10,3,3,2,0,349,1,3,1
10,3,3,1,0,386,3,3,0
10,3,3,2,1,18206347,1,3,0
10,3,3,4,0,27436524,3,3,2
10,3,3,1,1,475,1,3,1
10,3,3,2,0,132621,1,3,0
10,3,3,2,0,389,3,3,0
10,3,3,2,0,1091,1,3,1
